document_id,RawText,clean_text
0,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
1,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
2,"Learn the concrete steps on how spiritual leaders can integrate anti-racism ministry into the spiritual leadership of their community.
Click here for more info: https://t.co/3jOfOtSWPu

#dismantlewhitesupremacy #thisisamerica #racialjustice #racisminamerica #blacklivesmatter https://t.co/YFbW2hrUL3",learn concret step spiritu leader integr anti racism ministri spiritu leadership commun click info http co jofotswpu dismantlewhitesupremaci thisisamerica racialjustic racisminamerica blacklivesmatt http co yfbwhrul
3,RT @angelicaross: Found the @watchallblk app on my Samsung TV!  About to watch this right now!  #BeyondEdBuck #BlackLivesMatter,angelicaross found watchallblk app samsung tv about watch right beyondedbuck blacklivesmatt
4,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
5,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

🥼🩺
https://t.co/rSFvFIelIj

#CMScares4u @thedpsa 
@HealthZA @Tourism_gov_za #QM #4IR Constitution ""The EFF""
#Section59Investigation @2Pac 
#BlackLivesMatter #ICantBreath 
#The7dayTheory https://t.co/VnthwYbFLY",south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori http co vnthwybfli
6,RT @RGarcia_Sports: Trayvon Martin was murdered ten years ago today. #RIP #BLM #BlackLivesMatter https://t.co/7Bhz0u6Xjn,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn
7,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
8,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
9,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
10,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
11,RT @TrueWordsRSpoke: @keithboykin @RepMTG @BenLorber8 These people will support Russia and Putin WAY before they ever accept #BlackLivesMat…,truewordsrspok keithboykin repmtg benlorb these peopl support russia putin way ever accept blacklivesmat
12,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
13,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
14,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
15,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri
16,RT @MsCjay: We will never forget you! ... #TrayvonMartin #BlackLivesMatter https://t.co/OcQswaqQQa,mscjay we never forget trayvonmartin blacklivesmatt http co ocqswaqqqa
17,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
18,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
19,Found the @watchallblk app on my Samsung TV!  About to watch this right now!  #BeyondEdBuck #BlackLivesMatter https://t.co/LfQPyt0gFj,found watchallblk app samsung tv about watch right beyondedbuck blacklivesmatt http co lfqpytgfj
20,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
21,"Sadly his death and the death of so many black folks in the last 400+ yrs is #BlackHistory/American history.
#BlackLivesMatter #BlackShinesBrightest https://t.co/cj6vzACYDW",sadli death death mani black folk last yr blackhistori american histori blacklivesmatt blackshinesbrightest http co cjvzacydw
22,"RT @BiafranTweets: #FocusOnBiafra: It's never late to Speak about BIAFRA seeking for #REFERENDUM to save lives. #BlackLivesMatter

#FreeBia…",biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia
23,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
24,"""South Africa""

GEMS has the audacity to repeat the realities of apartheid discrimination.

🥼🩺
https://t.co/rSFvFIelIj

#CMScares4u @thedpsa 
@HealthZA @Tourism_gov_za #QM #4IR Constitution ""The EFF""
#Section59Investigation @2Pac 
#BlackLivesMatter #ICantBreath 
#The7dayTheory https://t.co/ZdIfecq0bu",south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori http co zdifecqbu
25,Defund the #SimpsonvillePolice #BlackLivesMatter,defund simpsonvillepolic blacklivesmatt
26,"Hmm, what a big contrast? When #Tigray was assaulted by its own people &amp; many countries, you said nothing except support the dictator in Ethiopia. #BlackLivesMatter #Tigrayans Don’t get me wrong, I stand with #Ukrainians but you(politicians are )messing up the world💔 Own it! https://t.co/yZhA8K606S",hmm big contrast when tigray assault peopl amp mani countri said noth except support dictat ethiopia blacklivesmatt tigrayan don get wrong i stand ukrainian politician mess world own http co yzhak
27,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac
