document_id,clean_text,sentiment
0,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
1,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
2,learn concret step spiritu leader integr anti racism ministri spiritu leadership commun click info http co jofotswpu dismantlewhitesupremaci thisisamerica racialjustic racisminamerica blacklivesmatt http co yfbwhrul,Neutral
3,angelicaross found watchallblk app samsung tv about watch right beyondedbuck blacklivesmatt,Positive
4,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
5,south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori http co vnthwybfli,Neutral
6,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn,Neutral
7,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
8,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
9,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
10,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
11,truewordsrspok keithboykin repmtg benlorb these peopl support russia putin way ever accept blacklivesmat,Neutral
12,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
13,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
14,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
15,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
16,mscjay we never forget trayvonmartin blacklivesmatt http co ocqswaqqqa,Neutral
17,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
18,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
19,found watchallblk app samsung tv about watch right beyondedbuck blacklivesmatt http co lfqpytgfj,Positive
20,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
21,sadli death death mani black folk last yr blackhistori american histori blacklivesmatt blackshinesbrightest http co cjvzacydw,Negative
22,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
23,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
24,south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori http co zdifecqbu,Neutral
25,defund simpsonvillepolic blacklivesmatt,Neutral
26,hmm big contrast when tigray assault peopl amp mani countri said noth except support dictat ethiopia blacklivesmatt tigrayan don get wrong i stand ukrainian politician mess world own http co yzhak,Negative
27,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
28,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
29,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
30,ttvball amaz perform shout amirah layla bsu tigerett blacklivesmatt http co mafxoeln,Neutral
31,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
32,joani mcgowen thank tiffani cross outstand report tribut trayvon martin black mother black famili,Negative
33,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
34,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
35,never forget trayvon martin trayvonmartin yearslat blacklivesmatt blm riptrayvon riptrayvonmartin breakingnew news endrac enoughisenough yearswithouttrayvon yearswithouttrayvonmartin neverforget februaryth http co iumjlzdm,Neutral
36,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
37,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
38,luelhelen no light no electr no food no telecommun no transport no medium tigraygenocid tigraycantwait break,Negative
39,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
40,berhan uae iran china russia turkey ethiopia eritrea engag invas tigray abiyahmedali still bombi,Neutral
41,south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori,Neutral
42,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn,Neutral
43,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn,Neutral
44,justmepixi hope art convey heartach feel trayvonmartin parent amp famili i use word express outrag wou,Neutral
45,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
46,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
47,kylejameshoward we still rememb trayvon turn today blacklivesmatt,Neutral
48,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
49,tbayissa the world got ukrain back turn back tigray genocid it saddest fact realiz tig,Neutral
50,breonna taylor blacklivesmatt,Neutral
51,south africa gem audac repeat realiti apartheid discrimin http co rsfvfielij cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori,Neutral
52,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
53,evincocampaign year ago today trayvon martin taken world senseless kill led creation blac,Neutral
54,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
55,ajenfli westandwithukrain racism still live without fear daili live sport entertain i felt like,Positive
56,ultrarotom urgent plea help peopl kenya share donat run money foo,Neutral
57,richardangwin there separ color peopl white peopl unit state that separ diseas color,Neutral
58,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
59,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
60,laraoyedel blacklivesmatt even war http co xverthgyi,Neutral
61,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
62,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
63,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
64,rememb trayvon martin year later trayvonmartin yearslat blacklivesmatt blm riptrayvon riptrayvonmartin breakingnew news endrac enoughisenough yearswithouttrayvon yearswithouttrayvonmartin neverforget februaryth http co wdaikbbaf,Neutral
65,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
66,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
67,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
68,keithboykin repmtg benlorb these peopl support russia putin way ever accept blacklivesmatt,Neutral
69,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
70,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
71,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
72,jeanjacquesd thi blacklivesmatt haiti notoimperi http co euzazuhd,Neutral
73,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
74,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
75,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
76,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
77,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
78,laraoyedel blacklivesmatt even war http co xverthgyi,Neutral
79,ultrarotom urgent plea help peopl kenya share donat run money foo,Neutral
80,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
81,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
82,luelhelen no light no electr no food no telecommun no transport no medium tigraygenocid tigraycantwait break,Negative
83,berhan uae iran china russia turkey ethiopia eritrea engag invas tigray abiyahmedali still bombi,Neutral
84,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
85,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
86,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
87,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
88,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
89,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
90,dananessel ummmmm can you stop calhoun counti and the citi of battl creek from oper a crimin enterpris a defin by rico statut and the fbidetroit to protect their friend and person belief blacklivesmatt http co mdyhzjy,Neutral
91,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
92,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
93,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
94,on field soldier rape survivor recount horror face thi type inhuman cannot understood place societi plea take stand tigraygenocid tigraycantwait blacklivesmatt ebonymag http co dkdajiuo,Neutral
95,telemil trayvonmartin would sandrabland oscargr georgefloyd other blacklivesmatt,Negative
96,we never forget trayvonmartin blacklivesmatt http co ocqswaqqqa,Neutral
97,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
98,kylejameshoward we still rememb trayvon turn today blacklivesmatt,Neutral
99,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
100,cdiva ten year trayvonmartin blacklivesmatt http co fgrdxgj,Neutral
101,trayvonmartin would sandrabland oscargr georgefloyd other blacklivesmatt,Negative
102,telemil polic not go stop disproportion kill black peopl nativ peopl until we stop them tayvonwouldhavebeen,Negative
103,booksandthebear a young male goe store learn hard way racial profil color use,Negative
104,itskingbiancax get custom african head etsi shop today these goddess planter perfect accent room yo,Positive
105,get custom african head etsi shop today these goddess planter perfect accent room home etsi planterhead blackown smallbusi africanqueen queen planterhead plant blackgirlmag brownskingirl blacklivesmatt goddess http co qeattdfe,Positive
106,liv romano rest power trayvon martin sayhisnam saytheirnam blacklivesmatt,Neutral
107,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
108,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
109,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
110,raymond tyne glenn tyne black child like manual trade three four child univers degre teacher need support start top systemicrac blacklivesmatt bhm bhm http co bwlycvak,Positive
111,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
112,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
113,cdiva ten year trayvonmartin blacklivesmatt http co fgrdxgj,Neutral
114,polic not go stop disproportion kill black peopl nativ peopl until we stop them tayvonwouldhavebeen blacklivesmatt,Negative
115,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
116,gem abandon transform mandat deliber engag apartheid racism practic http co rsfvfielij gem number presidencyza cmscaresu sahrcommiss spiritu qm ir medicalaidracialprofil blacklivesmatt breakthebia exodu http co yywptqjm,Neutral
117,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
118,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
119,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
120,bravenew trayvon martin mother sybrina fulton decad fight racial justic i give http co vbnkcphlt s,Neutral
121,adrblyferoci i agre we deal multipl hate issu america worldwid we need call bulli,Negative
122,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
123,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
124,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
125,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
126,luelhelen thi least thing we must voic peopl ever tigraycantwait tigraygenocid,Negative
127,electerichal keleen connel execut bham pd blm birmingham chapter assist famili demand transpar,Neutral
128,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
129,berhan uae iran china russia turkey ethiopia eritrea engag invas tigray abiyahmedali still bombi,Neutral
130,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
131,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
132,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
133,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
134,svhinc team review who love back popular demand mental health coach for black peopl amp peopl c,Positive
135,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
136,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
137,gem abandon transform mandat deliber engag apartheid racism practic http co rsfvfielij gem number presidencyza cmscaresu sahrcommiss spiritu qm ir medicalaidracialprofil blacklivesmatt breakthebia exodu,Neutral
138,wed nov new york citi new york polic kettl assault arrest protest watch http co vjrplltu citi newyork citynew york nycpd blacklivesmatt blm defundthepolic abolishthepolic,Positive
139,lemstraw noliewithbtc imagin candac owen would depart educ peopl fought,Neutral
140,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
141,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
142,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
143,cdiva ten year trayvonmartin blacklivesmatt http co fgrdxgj,Neutral
144,the world got ukrain back turn back tigray oromia genocid it saddest fact realiz tigray one tigrian blacklivesmatt tigraygenocid oromiagenocid tigrianslivesmattertoo oromiaslivesmattertoo,Neutral
145,blacklivesmatt trayvon life matter http co fzjeeqpf,Neutral
146,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
147,thomasepriceiii laurenboebert wasn trump hid bunker peac blacklivesmatt demonstr outsid,Neutral
148,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
149,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
150,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
151,contakk at everi opportun black peopl still treat le my alreadi hurt heart broken blacklivesmatt racism,Negative
152,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
153,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
154,gem abandon transform mandat deliber engag apartheid racism practic http co ifvhksfpo gem number presidencyza cmscaresu sahrcommiss spiritu qm ir medicalaidracialprofil blacklivesmatt breakthebia exodu http co qjkuwadvz,Neutral
155,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
156,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
157,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
158,bitterafterdark it year sinc trayvon martin kill ha anyth chang no blacklivesmatt we must continu,Neutral
159,south africa gem audac repeat realiti apartheid discrimin http co ifvhkrr cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori http co cbwfzplhx,Neutral
160,trayvon martin februari miami fl http co ttvrjaqgu trayvonmartin sayhisnam saytheirnam sayeverynam blacklivesmatt http co kxvqsnitsb,Neutral
161,listen and share rockford read daili podcast have black live ever matter mumia abu jamal spotifi spotifypodcast podcast blacklivesmatt blm http co zgdpdu,Negative
162,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
163,mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b,Positive
164,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
165,though all live matter disturb see african black care escal russiaukrainewar war go backyard ethiopia v tigray blacklivesmatt,Negative
166,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
167,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
168,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
169,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
170,niyiafrika it time african leader develop countri blacklivesmatt,Neutral
171,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
172,wrkclasshistori otd feb trayvon martin unarm black teenag murder neighbourhood watch volunt,Negative
173,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
174,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
175,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
